time,outletId,workStationId,userId,bill,action,url
13:41:44,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:41:48,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:41:57,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:41:58,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Change Outlet to Imperial Kitcehn DH,http://localhost:4850/#/tables
13:41:59,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,Change Map HOTLINE  34,http://localhost:4850/#/tables
13:42:00,Imperial Kitcehn DH(1002),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:42:01,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:42:02,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:42:04,Imperial Kitchen(15),0001,IT Melanie(1),,Change View to table,http://localhost:4850/#/tables
13:42:05,Imperial Kitchen(15),0001,IT Melanie(1),,Change View to map,http://localhost:4850/#/tables
13:42:06,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:42:11,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:42:52,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:42:52,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:42:54,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:42:55,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:42:56,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:43:03,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:43:11,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:43:12,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:43:13,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:43:14,Imperial Kitchen(15),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:43:15,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen Delivery,http://localhost:4850/#/tables
13:43:28,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,Change Map Delivery,http://localhost:4850/#/tables
13:43:34,Imperial Kitchen Delivery(1001),0001,IT Melanie(1),,modalSwitchOutlet,http://localhost:4850/#/tables
13:43:44,Imperial Kitchen(15),0001,IT Melanie(1),,Change Outlet to Imperial Kitchen,http://localhost:4850/#/tables
13:43:47,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Other,http://localhost:4850/#/tables
13:43:48,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Dine In,http://localhost:4850/#/tables
13:43:49,Imperial Kitchen(15),0001,IT Melanie(1),,Change Map Other,http://localhost:4850/#/tables
